time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130406:0800,17.94,36.96,473,369.73,259,308.75,9.38,306,99133
20130406:0900,18.51,34.54,789,931,109,316.05,9.79,303,99147
20130406:1000,19.07,32.12,926,980.42,106,323.35,10.21,301,99160
20130406:1100,19.64,29.7,982,955.55,132,330.65,10.62,298,99173
20130406:1200,19.85,29.3,977,954.59,131,328.92,11.25,301,99206
20130406:1300,20.05,28.9,849,757.2,223,327.18,11.88,305,99239
20130406:1400,20.26,28.5,732,773.38,179,325.45,12.51,309,99272
20130406:1500,19.68,28.44,527,620.97,180,317.97,10.96,313,99373
20130406:1600,19.1,28.38,315,496.4,132,310.48,9.4,317,99475
20130406:1700,18.52,28.32,81,114.25,63,303,7.85,321,99577
20130406:1800,17.52,30.17,0,0,0,299.78,8.47,327,99732
20130406:1900,16.52,32.02,0,0,0,296.57,9.1,332,99886
20130406:2000,15.51,33.87,0,0,0,293.35,9.72,338,100041
20130406:2100,14.46,35.52,0,0,0,289.98,9.43,339,100080
20130406:2200,13.4,37.17,0,0,0,286.62,9.14,340,100120
20130406:2300,12.35,38.82,0,0,0,283.25,8.84,341,100159
20130407:0000,11.69,41.45,0,0,0,280.18,7.75,337,100136
20130407:0100,11.04,44.09,0,0,0,277.12,6.66,332,100113
20130407:0200,10.38,46.72,0,0,0,274.05,5.57,328,100090
20130407:0300,9.89,47.29,0,0,0,270.73,6.13,322,100130
20130407:0400,9.4,47.85,0,0,0,267.42,6.69,316,100169
20130407:0500,8.91,48.42,0,0,0,264.1,7.26,311,100208
20130407:0600,10.18,43.92,137,374.16,67,266.47,8.32,311,100271
20130407:0700,11.46,39.41,344,514.83,140,268.83,9.38,312,100333
20130407:0800,12.73,34.91,550,617.69,190,271.2,10.44,312,100396
20130407:0900,13.77,30.97,733,708.36,213,274.27,9.99,314,100373
20130407:1000,14.8,27.04,864,759.76,226,277.33,9.53,317,100350
20130407:1100,15.84,23.1,933,793.21,225,280.4,9.08,319,100327
20130407:1200,16.77,21.95,918,761.52,241,281.73,8.17,321,100271
20130407:1300,17.71,20.8,832,699.42,252,283.07,7.26,323,100215
20130407:1400,18.64,19.65,714,702.52,210,284.4,6.34,325,100159
20130407:1500,18.01,21,514,561.4,199,282.35,5.27,323,100156
20130407:1600,17.38,22.34,310,458.28,140,280.3,4.19,321,100153
20130407:1700,16.75,23.69,76,81.28,63,278.25,3.12,320,100149
20130407:1800,15.69,26.28,0,0,0,277.15,3.28,290,100205
20130407:1900,14.63,28.86,0,0,0,276.05,3.45,261,100261
20130407:2000,13.57,31.45,0,0,0,274.95,3.61,232,100317
20130407:2100,12.71,32.65,0,0,0,274.1,3.67,223,100314
20130407:2200,11.84,33.85,0,0,0,273.25,3.72,215,100310
20130407:2300,10.97,35.05,0,0,0,272.4,3.78,206,100307
20130408:0000,10.66,33.89,0,0,0,270,4,207,100294
20130408:0100,10.35,32.72,0,0,0,267.6,4.21,208,100281
20130408:0200,10.04,31.56,0,0,0,265.2,4.43,210,100268
20130408:0300,9.87,31.1,0,0,0,264.48,4.6,208,100274
20130408:0400,9.7,30.64,0,0,0,263.77,4.77,207,100281
20130408:0500,9.53,30.18,0,0,0,263.05,4.94,205,100287
20130408:0600,12.25,25.8,140,365.37,70,269.23,5.48,205,100310
20130408:0700,14.98,21.41,350,526.84,139,275.42,6.02,205,100333
20130408:0800,17.7,17.03,551,606.7,195,281.6,6.57,204,100356
